Date, Open, High, Low, Close
10/16/89, 2657.38, 2667.42, 2496.93, 2657.38
10/13/89, 2569.26, 2773.36, 2548.77, 2569.26
10/12/89, 2759.84, 2785.24, 2744.05, 2759.84
10/11/89, 2773.36, 2790.98, 2750.82, 2773.36
10/10/89, 2785.33, 2809.08, 2766.53, 2785.33
10/09/89, 2791.41, 2804.52, 2766.34, 2791.41
10/06/89, 2785.52, 2808.13, 2765.57, 2785.52
10/05/89, 2773.56, 2796.92, 2747.15, 2773.56
10/04/89, 2771.09, 2785.52, 2738.79, 2771.09
10/03/89, 2754.56, 2765.96, 2708.96, 2754.56
10/02/89, 2713.72, 2724.16, 2677.05, 2713.72
09/29/89, 2692.82, 2721.12, 2675.72, 2692.82
09/28/89, 2694.91, 2709.16, 2657.86, 2694.91
09/27/89, 2673.06, 2685.03, 2636.78, 2673.06
09/26/89, 2663.94, 2688.64, 2652.92, 2663.94
09/25/89, 2659.19, 2685.41, 2647.61, 2659.19
09/22/89, 2681.61, 2696.62, 2667.55, 2681.61
09/21/89, 2680.28, 2707.82, 2665.65, 2680.28
09/20/89, 2683.89, 2703.46, 2672.49, 2683.89
09/19/89, 2687.31, 2709.34, 2675.91, 2687.31
09/18/89, 2687.50, 2694.91, 2662.61, 2687.50
09/15/89, 2674.58, 2695.67, 2646.27, 2674.58
09/14/89, 2664.89, 2690.16, 2647.61, 2664.89
09/13/89, 2679.52, 2727.20, 2671.16, 2679.52
09/12/89, 2707.26, 2726.06, 2689.59, 2707.26
09/11/89, 2704.41, 2720.74, 2677.05, 2704.41
09/08/89, 2709.54, 2728.72, 2679.33, 2709.54
09/07/89, 2706.88, 2748.10, 2692.06, 2706.88
09/06/89, 2719.79, 2752.09, 2697.95, 2719.79
09/05/89, 2744.68, 2768.23, 2731.76, 2744.68
09/01/89, 2752.09, 2766.91, 2726.82, 2752.09
08/31/89, 2737.27, 2744.68, 2717.89, 2737.27
08/30/89, 2728.15, 2753.61, 2705.36, 2728.15
08/29/89, 2726.63, 2757.60, 2704.98, 2726.63
08/28/89, 2743.36, 2748.10, 2710.73, 2743.36
08/25/89, 2732.36, 2758.72, 2715.48, 2732.36
08/24/89, 2734.64, 2738.43, 2672.23, 2734.64
08/23/89, 2678.11, 2683.61, 2641.12, 2678.11
08/22/89, 2650.99, 2659.71, 2619.88, 2650.99
08/21/89, 2647.00, 2693.29, 2640.74, 2647.00
08/18/89, 2687.97, 2697.27, 2665.97, 2687.97
08/17/89, 2679.63, 2703.71, 2663.13, 2679.63
08/16/89, 2693.29, 2712.25, 2680.57, 2693.29
08/15/89, 2687.78, 2705.23, 2665.02, 2687.78
08/14/89, 2677.92, 2702.96, 2654.97, 2677.92
08/11/89, 2683.99, 2747.53, 2668.05, 2683.99
08/10/89, 2712.63, 2732.93, 2669.57, 2712.63
08/09/89, 2686.08, 2725.15, 2678.11, 2686.08
08/08/89, 2699.16, 2718.51, 2676.97, 2699.16
08/07/89, 2694.99, 2701.82, 2644.73, 2694.99
08/04/89, 2653.45, 2679.44, 2629.17, 2653.45
08/03/89, 2661.61, 2676.97, 2640.74, 2661.61
08/02/89, 2657.44, 2668.43, 2626.32, 2657.44
08/01/89, 2641.12, 2687.02, 2628.98, 2641.12
07/31/89, 2660.66, 2668.25, 2615.52, 2660.66
07/28/89, 2635.24, 2656.68, 2615.70, 2635.24
07/27/89, 2635.43, 2649.28, 2604.70, 2635.43
07/26/89, 2613.05, 2621.20, 2563.73, 2613.05
07/25/89, 2583.08, 2610.39, 2565.63, 2583.08
07/24/89, 2584.98, 2607.55, 2574.35, 2584.98
07/21/89, 2607.36, 2613.81, 2558.23, 2607.36
07/20/89, 2575.49, 2616.46, 2566.58, 2575.49
07/19/89, 2584.41, 2590.48, 2546.47, 2584.41
07/18/89, 2544.76, 2560.70, 2531.68, 2544.76
07/17/89, 2553.49, 2565.82, 2535.85, 2553.49
07/14/89, 2554.82, 2563.16, 2512.52, 2554.82
07/13/89, 2538.32, 2553.30, 2517.83, 2538.32
07/12/89, 2532.63, 2543.25, 2504.93, 2532.63
07/11/89, 2514.61, 2537.37, 2503.41, 2514.61
07/10/89, 2502.66, 2513.46, 2482.74, 2502.66
07/07/89, 2487.86, 2503.22, 2456.56, 2487.86
07/06/89, 2462.44, 2475.53, 2446.51, 2462.44
07/05/89, 2456.56, 2467.18, 2431.52, 2456.56
07/03/89, 2452.77, 2461.49, 2434.37, 2452.77
06/30/89, 2440.06, 2466.05, 2412.93, 2440.06
06/29/89, 2458.27, 2500.00, 2451.25, 2458.27
06/28/89, 2504.74, 2531.86, 2485.77, 2504.74
06/27/89, 2526.37, 2544.95, 2507.39, 2526.37
06/26/89, 2511.38, 2536.98, 2500.57, 2511.38
06/23/89, 2531.87, 2536.04, 2490.13, 2531.87
06/22/89, 2482.17, 2489.75, 2452.77, 2482.17
06/21/89, 2464.91, 2489.38, 2450.87, 2464.91
06/20/89, 2472.88, 2496.02, 2463.96, 2472.88
06/19/89, 2479.89, 2497.15, 2465.10, 2479.89
06/16/89, 2486.38, 2495.52, 2461.57, 2486.38
06/15/89, 2475.00, 2505.97, 2460.82, 2475.00
06/14/89, 2503.36, 2520.71, 2486.00, 2503.36
06/13/89, 2503.54, 2520.71, 2484.70, 2503.54
06/12/89, 2518.66, 2528.17, 2484.70, 2518.66
06/09/89, 2513.42, 2533.64, 2494.85, 2513.42
06/08/89, 2516.91, 2534.38, 2499.81, 2516.91
06/07/89, 2512.32, 2526.65, 2493.38, 2512.32
06/06/89, 2496.32, 2507.54, 2471.32, 2496.32
06/05/89, 2480.70, 2523.71, 2476.84, 2480.70
06/02/89, 2517.83, 2530.88, 2492.46, 2517.83
06/01/89, 2490.63, 2504.23, 2469.67, 2490.63
05/31/89, 2480.15, 2497.06, 2462.68, 2480.15
05/30/89, 2475.55, 2510.66, 2459.74, 2475.55
05/26/89, 2493.77, 2501.83, 2473.05, 2493.77
05/25/89, 2482.59, 2498.71, 2467.56, 2482.59
05/24/89, 2483.87, 2495.05, 2458.03, 2483.87
05/23/89, 2478.01, 2501.83, 2467.19, 2478.01
05/22/89, 2502.02, 2521.63, 2481.30, 2502.02
05/19/89, 2501.10, 2509.34, 2468.29, 2501.10
05/18/89, 2470.12, 2482.77, 2448.86, 2470.12
05/17/89, 2462.43, 2478.74, 2439.70, 2462.43
05/16/89, 2453.45, 2469.76, 2439.88, 2453.45
05/15/89, 2463.89, 2474.89, 2432.37, 2463.89
05/12/89, 2439.70, 2447.95, 2408.54, 2439.70
05/11/89, 2382.88, 2393.51, 2365.83, 2382.88
05/10/89, 2374.45, 2387.83, 2361.25, 2374.45
05/09/89, 2371.33, 2390.03, 2356.85, 2371.33
05/08/89, 2376.47, 2387.28, 2356.30, 2376.47
05/05/89, 2381.96, 2415.69, 2371.88, 2381.96
05/04/89, 2384.90, 2399.01, 2373.35, 2384.90
05/03/89, 2393.70, 2410.55, 2382.51, 2393.70
05/02/89, 2402.86, 2434.38, 2394.61, 2402.86
05/01/89, 2414.96, 2420.45, 2390.03, 2414.96
04/28/89, 2418.80, 2430.35, 2403.59, 2418.80
04/27/89, 2418.99, 2433.10, 2387.83, 2418.99
04/26/89, 2389.11, 2404.14, 2373.90, 2389.11
04/25/89, 2386.91, 2421.55, 2378.85, 2386.91
04/24/89, 2402.68, 2416.05, 2385.08, 2402.68
04/21/89, 2409.46, 2412.57, 2373.35, 2409.46
04/20/89, 2377.38, 2399.19, 2356.85, 2377.38
04/19/89, 2386.91, 2398.46, 2369.50, 2386.91
04/18/89, 2379.40, 2386.00, 2351.36, 2379.40
04/17/89, 2337.79, 2348.42, 2324.23, 2337.79
04/14/89, 2337.06, 2342.92, 2308.83, 2337.06
04/13/89, 2296.00, 2321.84, 2289.59, 2296.00
04/12/89, 2319.65, 2332.84, 2304.43, 2319.65
04/11/89, 2311.58, 2321.48, 2295.27, 2311.58
04/10/89, 2301.87, 2316.35, 2293.62, 2301.87
04/07/89, 2304.80, 2314.88, 2282.07, 2304.80
04/06/89, 2291.97, 2305.71, 2282.80, 2291.97
04/05/89, 2304.80, 2315.80, 2286.84, 2304.80
04/04/89, 2298.20, 2314.88, 2282.44, 2298.20
04/03/89, 2304.80, 2317.45, 2284.09, 2304.80
03/31/89, 2293.62, 2303.33, 2277.49, 2293.62
03/30/89, 2281.34, 2296.92, 2264.29, 2281.34
03/29/89, 2281.52, 2293.62, 2262.64, 2281.52
03/28/89, 2275.54, 2287.86, 2258.93, 2275.54
03/27/89, 2257.86, 2264.29, 2234.46, 2257.86
03/23/89, 2243.04, 2274.80, 2235.89, 2243.04
03/22/89, 2263.21, 2276.61, 2247.14, 2263.21
03/21/89, 2266.25, 2284.82, 2259.64, 2266.25
03/20/89, 2262.50, 2286.25, 2249.46, 2262.50
03/17/89, 2292.14, 2307.68, 2267.86, 2292.14
03/16/89, 2340.71, 2351.07, 2315.36, 2340.71
03/15/89, 2320.54, 2332.86, 2300.71, 2320.54
03/14/89, 2306.25, 2322.68, 2296.79, 2306.25
03/13/89, 2306.25, 2319.64, 2282.68, 2306.25
03/10/89, 2282.14, 2295.54, 2261.61, 2282.14
03/09/89, 2291.43, 2306.61, 2282.86, 2291.43
03/08/89, 2295.54, 2316.79, 2280.00, 2295.54
03/07/89, 2290.71, 2308.57, 2278.93, 2290.71
03/06/89, 2294.82, 2302.50, 2270.36, 2294.82
03/03/89, 2274.29, 2281.79, 2255.00, 2274.29
03/02/89, 2265.71, 2274.82, 2239.82, 2265.71
03/01/89, 2243.04, 2277.50, 2234.82, 2243.04
02/28/89, 2258.39, 2269.82, 2242.68, 2258.39
02/27/89, 2250.36, 2260.18, 2232.14, 2250.36
02/24/89, 2245.54, 2291.79, 2242.50, 2245.54
02/23/89, 2289.46, 2295.71, 2266.96, 2289.46
02/22/89, 2283.93, 2327.50, 2276.43, 2283.93
02/21/89, 2326.43, 2340.89, 2311.79, 2326.43
02/17/89, 2324.82, 2339.11, 2301.96, 2324.82
02/16/89, 2311.43, 2326.07, 2293.04, 2311.43
02/15/89, 2303.93, 2309.64, 2275.71, 2303.93
02/14/89, 2281.25, 2308.04, 2274.82, 2281.25
02/13/89, 2282.50, 2295.71, 2266.07, 2282.50
02/10/89, 2286.07, 2322.32, 2278.93, 2286.07
02/09/89, 2323.04, 2347.68, 2308.39, 2323.04
02/08/89, 2343.21, 2369.29, 2332.86, 2343.21
02/07/89, 2347.14, 2363.75, 2314.64, 2347.14
02/06/89, 2321.07, 2338.04, 2307.68, 2321.07
02/03/89, 2331.25, 2348.75, 2319.29, 2331.25
02/02/89, 2333.75, 2352.86, 2319.64, 2333.75
02/01/89, 2338.21, 2355.00, 2319.29, 2338.21
01/31/89, 2342.32, 2350.18, 2302.68, 2342.32
01/30/89, 2324.11, 2336.61, 2305.00, 2324.11
01/27/89, 2322.86, 2349.64, 2295.18, 2322.86
01/26/89, 2291.07, 2303.57, 2252.86, 2291.07
01/25/89, 2265.89, 2277.68, 2242.32, 2265.89
01/24/89, 2256.43, 2264.82, 2214.82, 2256.43
01/23/89, 2218.39, 2253.93, 2214.29, 2218.39
01/20/89, 2235.36, 2249.46, 2221.25, 2235.36
01/19/89, 2239.11, 2254.64, 2225.71, 2239.11
01/18/89, 2238.75, 2247.32, 2202.50, 2238.75
01/17/89, 2214.64, 2227.50, 2203.75, 2214.64
01/16/89, 2224.64, 2236.25, 2215.18, 2224.64
01/13/89, 2226.07, 2235.00, 2210.54, 2226.07
01/12/89, 2222.32, 2239.11, 2200.71, 2222.32
01/11/89, 2206.43, 2211.96, 2185.71, 2206.43
01/10/89, 2193.21, 2213.76, 2182.32, 2193.21
01/09/89, 2199.46, 2209.11, 2185.00, 2199.46
01/06/89, 2194.29, 2213.93, 2182.32, 2194.29
01/05/89, 2190.54, 2205.18, 2173.04, 2190.54
01/04/89, 2177.68, 2183.39, 2146.61, 2177.68
01/03/89, 2144.64, 2168.39, 2127.14, 2144.64
12/30/88, 2168.57, 2193.75, 2162.50, 2168.57
12/29/88, 2182.68, 2193.04, 2165.54, 2182.68
12/28/88, 2166.43, 2179.64, 2153.57, 2166.43
12/27/88, 2162.68, 2179.29, 2156.43, 2162.68
12/23/88, 2168.93, 2176.79, 2157.86, 2168.93
12/22/88, 2160.36, 2176.43, 2151.43, 2160.36
12/21/88, 2164.64, 2178.57, 2146.07, 2164.64
12/20/88, 2166.07, 2192.68, 2161.25, 2166.07
12/19/88, 2172.68, 2179.64, 2141.07, 2172.68
12/16/88, 2150.71, 2155.00, 2131.25, 2150.71
12/15/88, 2133.00, 2146.87, 2120.91, 2133.00
12/14/88, 2134.25, 2149.71, 2121.44, 2134.25
12/13/88, 2143.49, 2151.14, 2119.31, 2143.49
12/12/88, 2139.58, 2165.18, 2133.89, 2139.58
12/09/88, 2143.49, 2157.00, 2131.40, 2143.49
12/08/88, 2141.71, 2162.70, 2133.18, 2141.71
12/07/88, 2153.63, 2167.50, 2136.38, 2153.63
12/06/88, 2149.36, 2158.96, 2117.18, 2149.36
12/05/88, 2123.76, 2135.49, 2092.64, 2123.76
12/02/88, 2092.28, 2105.79, 2075.39, 2092.28
12/01/88, 2101.88, 2120.02, 2095.48, 2101.88
11/30/88, 2114.51, 2126.60, 2095.48, 2114.51
11/29/88, 2101.53, 2112.73, 2072.37, 2101.53
11/28/88, 2081.44, 2095.48, 2062.23, 2081.44
11/25/88, 2074.68, 2085.52, 2063.83, 2074.68
11/23/88, 2092.28, 2103.48, 2071.48, 2092.28
11/22/88, 2077.70, 2086.77, 2052.63, 2077.70
11/21/88, 2065.97, 2070.05, 2036.80, 2065.97
11/18/88, 2062.41, 2070.41, 2047.12, 2062.41
11/17/88, 2052.45, 2064.19, 2033.25, 2052.45
11/16/88, 2038.58, 2081.43, 2026.67, 2038.58
11/15/88, 2077.17, 2088.02, 2060.28, 2077.17
11/14/88, 2065.08, 2084.81, 2050.85, 2065.08
11/11/88, 2067.03, 2107.04, 2063.48, 2067.03
11/10/88, 2114.69, 2132.82, 2103.30, 2114.69
11/09/88, 2118.24, 2134.24, 2100.82, 2118.24
11/08/88, 2127.49, 2146.87, 2119.66, 2127.49
11/07/88, 2124.64, 2143.13, 2113.62, 2124.64
11/04/88, 2145.80, 2173.89, 2139.58, 2145.80
11/03/88, 2170.34, 2185.99, 2153.45, 2170.34
11/02/88, 2156.83, 2167.67, 2131.40, 2156.83
11/01/88, 2150.96, 2165.89, 2132.82, 2150.96
10/31/88, 2148.65, 2161.63, 2125.36, 2148.65
10/28/88, 2149.89, 2166.43, 2135.67, 2149.89
10/27/88, 2140.83, 2165.54, 2120.91, 2140.83
10/26/88, 2165.18, 2182.61, 2148.47, 2165.18
10/25/88, 2173.36, 2188.65, 2156.82, 2173.36
10/24/88, 2170.34, 2195.05, 2162.16, 2170.34
10/21/88, 2183.50, 2193.28, 2152.56, 2183.50
10/20/88, 2181.19, 2183.68, 2129.80, 2181.19
10/19/88, 2137.27, 2173.01, 2110.95, 2137.27
10/18/88, 2159.85, 2163.41, 2124.29, 2159.85
10/17/88, 2140.47, 2150.60, 2120.02, 2140.47
10/14/88, 2133.18, 2153.80, 2118.77, 2133.18
10/13/88, 2133.36, 2149.54, 2114.33, 2133.36
10/12/88, 2126.24, 2146.34, 2113.44, 2126.24
10/11/88, 2156.47, 2164.83, 2137.09, 2156.47
10/10/88, 2158.96, 2167.85, 2139.05, 2158.96
10/07/88, 2150.25, 2157.71, 2112.02, 2150.25
10/06/88, 2107.75, 2118.06, 2092.64, 2107.75
10/05/88, 2106.51, 2119.84, 2082.32, 2106.51
10/04/88, 2102.06, 2119.48, 2090.68, 2102.06
10/03/88, 2105.26, 2116.82, 2083.39, 2105.26
09/30/88, 2112.91, 2140.29, 2104.02, 2112.91
09/29/88, 2119.31, 2123.75, 2084.46, 2119.31
09/28/88, 2085.53, 2096.37, 2070.23, 2085.53
09/27/88, 2082.33, 2095.30, 2069.88, 2082.33
09/26/88, 2085.17, 2098.33, 2075.75, 2085.17
09/23/88, 2090.68, 2097.79, 2070.41, 2090.68
09/22/88, 2080.01, 2097.08, 2066.68, 2080.01
09/21/88, 2090.50, 2103.30, 2078.77, 2090.50
09/20/88, 2087.48, 2097.26, 2073.25, 2087.48
09/19/88, 2081.08, 2096.55, 2066.86, 2081.08
09/16/88, 2098.15, 2113.26, 2077.70, 2098.15
09/15/88, 2092.28, 2112.55, 2084.28, 2092.28
09/14/88, 2100.64, 2111.66, 2079.13, 2100.64
09/13/88, 2083.04, 2088.19, 2055.30, 2083.04
09/12/88, 2072.37, 2088.55, 2057.43, 2072.37
09/09/88, 2068.81, 2088.73, 2038.94, 2068.81
09/08/88, 2063.12, 2079.30, 2052.10, 2063.12
09/07/88, 2065.79, 2084.10, 2052.98, 2065.79
09/06/88, 2065.26, 2074.68, 2046.41, 2065.26
09/02/88, 2054.59, 2064.72, 2022.40, 2054.59
09/01/88, 2002.31, 2027.56, 1988.44, 2002.31
08/31/88, 2031.65, 2052.45, 2022.93, 2031.65
08/30/88, 2038.23, 2052.63, 2028.63, 2038.23
08/29/88, 2041.43, 2047.47, 2020.45, 2041.43
08/26/88, 2017.43, 2027.38, 2002.13, 2017.43
08/25/88, 2010.85, 2022.05, 1990.39, 2010.85
08/24/88, 2026.67, 2028.98, 1990.04, 2026.67
08/23/88, 1989.33, 2008.36, 1978.66, 1989.33
08/22/88, 1990.22, 2027.56, 1987.02, 1990.22
08/19/88, 2016.00, 2048.89, 2011.38, 2016.00
08/18/88, 2027.03, 2046.59, 2014.22, 2027.03
08/17/88, 2025.96, 2042.50, 2003.38, 2025.96
08/16/88, 2021.51, 2043.56, 1993.77, 2021.51
08/15/88, 2004.27, 2040.71, 1998.75, 2004.27
08/12/88, 2037.52, 2046.41, 2019.38, 2037.52
08/11/88, 2039.30, 2050.67, 2014.05, 2039.30
08/10/88, 2034.14, 2078.41, 2023.65, 2034.14
08/09/88, 2079.13, 2110.95, 2061.16, 2079.13
08/08/88, 2107.40, 2134.60, 2103.13, 2107.40
08/05/88, 2119.13, 2128.73, 2105.44, 2119.13
08/04/88, 2126.60, 2147.22, 2117.71, 2126.60
08/03/88, 2134.07, 2147.93, 2115.39, 2134.07
08/02/88, 2131.22, 2151.85, 2112.20, 2131.22
08/01/88, 2130.51, 2146.16, 2111.84, 2130.51
07/29/88, 2128.73, 2128.73, 2084.28, 2128.73
07/28/88, 2082.33, 2089.26, 2047.30, 2082.33
07/27/88, 2053.70, 2089.97, 2047.30, 2053.70
07/26/88, 2073.97, 2089.79, 2059.56, 2073.97
07/25/88, 2071.83, 2082.68, 2048.54, 2071.83
07/22/88, 2060.99, 2092.46, 2050.32, 2060.99
07/21/88, 2086.59, 2113.62, 2077.17, 2086.59
07/20/88, 2110.60, 2119.31, 2091.39, 2110.60
07/19/88, 2097.26, 2127.66, 2081.08, 2097.26
07/18/88, 2117.89, 2132.46, 2099.39, 2117.89
07/15/88, 2129.45, 2140.11, 2099.57, 2129.45
07/14/88, 2113.62, 2125.71, 2089.26, 2113.62
07/13/88, 2104.37, 2114.15, 2073.43, 2104.37
07/12/88, 2092.64, 2121.44, 2077.52, 2092.64
07/11/88, 2111.31, 2126.07, 2098.68, 2111.31
07/08/88, 2106.15, 2133.53, 2099.39, 2106.15
07/07/88, 2122.69, 2136.02, 2101.35, 2122.69
07/06/88, 2130.16, 2169.45, 2107.39, 2130.16
07/05/88, 2158.61, 2162.52, 2117.71, 2158.61
07/01/88, 2131.58, 2151.14, 2118.95, 2131.58
06/30/88, 2141.71, 2147.22, 2112.38, 2141.71
06/29/88, 2121.98, 2144.91, 2106.15, 2121.98
06/28/88, 2130.87, 2139.93, 2100.11, 2130.87
06/27/88, 2108.46, 2147.76, 2101.17, 2108.46
06/24/88, 2142.96, 2165.36, 2133.53, 2142.96
06/23/88, 2148.29, 2163.94, 2131.58, 2148.29
06/22/88, 2152.20, 2169.09, 2131.04, 2152.20
06/21/88, 2109.17, 2115.75, 2072.54, 2109.17
06/20/88, 2083.93, 2100.11, 2072.72, 2083.93
06/17/88, 2104.02, 2116.46, 2070.05, 2104.02
06/16/88, 2094.24, 2120.73, 2081.97, 2094.24
06/15/88, 2131.40, 2137.45, 2109.53, 2131.40
06/14/88, 2124.47, 2148.11, 2111.13, 2124.47
06/13/88, 2099.40, 2114.15, 2084.64, 2099.40
06/10/88, 2101.71, 2123.57, 2084.81, 2101.71
06/09/88, 2093.35, 2119.31, 2081.79, 2093.35
06/08/88, 2102.95, 2113.62, 2055.83, 2102.95
06/07/88, 2054.59, 2082.86, 2042.85, 2054.59
06/06/88, 2075.21, 2083.93, 2049.07, 2075.21
06/03/88, 2071.30, 2080.72, 2040.00, 2071.30
06/02/88, 2052.45, 2073.25, 2030.94, 2052.45
06/01/88, 2064.01, 2076.63, 2021.34, 2064.01
05/31/88, 2031.12, 2034.49, 1959.28, 2031.12
05/27/88, 1956.44, 1970.84, 1944.34, 1956.44
05/26/88, 1966.75, 1981.15, 1952.17, 1966.75
05/25/88, 1961.37, 1984.58, 1952.42, 1961.37
05/24/88, 1962.53, 1967.67, 1938.16, 1962.53
05/23/88, 1941.48, 1962.37, 1927.22, 1941.48
05/20/88, 1952.59, 1978.78, 1940.48, 1952.59
05/19/88, 1958.72, 1963.86, 1922.58, 1958.72
05/18/88, 1951.09, 1993.53, 1941.31, 1951.09
05/17/88, 1986.41, 2026.69, 1982.09, 1986.41
05/16/88, 2007.63, 2012.60, 1980.27, 2007.63
05/13/88, 1990.55, 2001.49, 1971.65, 1990.55
05/12/88, 1968.00, 1986.07, 1960.54, 1968.00
05/11/88, 1965.85, 1998.56, 1950.26, 1965.85
05/10/88, 2003.65, 2020.22, 1984.41, 2003.65
05/09/88, 1997.35, 2013.59, 1984.08, 1997.35
05/06/88, 2007.46, 2038.13, 1997.68, 2007.46
05/05/88, 2020.23, 2038.40, 2008.95, 2020.23
05/04/88, 2036.31, 2067.14, 2029.51, 2036.31
05/03/88, 2058.36, 2071.95, 2036.64, 2058.36
05/02/88, 2043.27, 2050.39, 2019.89, 2043.27
04/29/88, 2032.33, 2047.91, 2014.09, 2032.33
04/28/88, 2041.28, 2057.03, 2026.03, 2041.28
04/27/88, 2047.91, 2066.64, 2033.16, 2047.91
04/26/88, 2044.76, 2062.83, 2023.04, 2044.76
04/25/88, 2035.97, 2047.74, 2011.60, 2035.97
04/22/88, 2015.09, 2030.00, 1985.57, 2015.09
04/21/88, 1987.40, 2030.50, 1968.00, 1987.40
04/20/88, 1985.41, 2015.41, 1975.46, 1985.41
04/19/88, 1999.50, 2047.08, 1990.55, 1999.50
04/18/88, 2008.12, 2023.04, 1985.74, 2008.12
04/15/88, 2013.93, 2031.33, 1969.99, 2013.93
04/14/88, 2005.64, 2083.22, 1998.18, 2005.64
04/13/88, 2107.10, 2121.35, 2082.56, 2107.10
04/12/88, 2110.08, 2121.18, 2085.38, 2110.08
04/11/88, 2095.99, 2110.08, 2075.26, 2095.99
04/08/88, 2090.19, 2103.78, 2050.39, 2090.19
04/07/88, 2062.17, 2084.21, 2042.94, 2062.17
04/06/88, 2061.67, 2067.47, 1987.56, 2061.67
04/05/88, 1997.51, 2011.27, 1969.99, 1997.51
04/04/88, 1980.60, 2013.26, 1969.49, 1980.60
03/31/88, 1988.06, 2000.66, 1957.89, 1988.06
03/30/88, 1978.12, 2017.57, 1972.98, 1978.12
03/29/88, 1998.34, 2018.57, 1979.61, 1998.34
03/28/88, 1979.77, 1990.88, 1951.26, 1979.77
03/25/88, 1978.95, 2031.00, 1973.80, 1978.95
03/24/88, 2023.87, 2052.22, 2011.44, 2023.87
03/23/88, 2067.64, 2085.04, 2047.41, 2067.64
03/22/88, 2066.15, 2082.89, 2052.05, 2066.15
03/21/88, 2067.14, 2081.23, 2050.56, 2067.14
03/18/88, 2087.37, 2110.91, 2067.64, 2087.37
03/17/88, 2086.04, 2093.17, 2057.03, 2086.04
03/16/88, 2064.32, 2070.62, 2027.02, 2064.32
03/15/88, 2047.41, 2062.17, 2030.17, 2047.41
03/14/88, 2050.07, 2056.70, 2023.04, 2050.07
03/11/88, 2034.98, 2049.23, 1996.52, 2034.98
03/10/88, 2026.03, 2081.40, 2020.72, 2026.03
03/09/88, 2074.27, 2094.16, 2064.49, 2074.27
03/08/88, 2081.07, 2090.02, 2055.04, 2081.07
03/07/88, 2056.37, 2069.30, 2034.15, 2056.37
03/04/88, 2057.86, 2070.75, 2033.32, 2057.86
03/03/88, 2063.49, 2085.38, 2048.41, 2063.49
03/02/88, 2071.29, 2094.49, 2058.19, 2071.29
03/01/88, 2070.46, 2086.87, 2048.57, 2070.46
