Date, Open, High, Low, Close
12/29/89, 2753.20, 2763.01, 2726.96, 2753.20
12/28/89, 2732.30, 2742.53, 2709.04, 2732.30
12/27/89, 2724.40, 2739.12, 2701.58, 2724.40
12/26/89, 2709.26, 2728.88, 2694.54, 2709.26
12/22/89, 2711.39, 2721.20, 2682.59, 2711.39
12/21/89, 2691.13, 2714.16, 2671.71, 2691.13
12/20/89, 2687.93, 2719.07, 2667.02, 2687.93
12/19/89, 2695.61, 2720.13, 2658.70, 2695.61
12/18/89, 2697.53, 2755.54, 2679.82, 2697.53
12/15/89, 2739.55, 2763.65, 2703.92, 2739.55
12/14/89, 2753.63, 2771.33, 2732.08, 2753.63
12/13/89, 2761.09, 2784.77, 2737.20, 2761.09
12/12/89, 2752.13, 2764.50, 2716.51, 2752.13
12/11/89, 2728.24, 2742.75, 2705.63, 2728.24
12/08/89, 2731.44, 2750.85, 2716.51, 2731.44
12/07/89, 2720.78, 2756.82, 2702.00, 2720.78
12/06/89, 2736.77, 2754.90, 2722.70, 2736.77
12/05/89, 2741.68, 2773.89, 2731.23, 2741.68
12/04/89, 2753.63, 2772.18, 2731.01, 2753.63
12/01/89, 2747.65, 2763.86, 2705.42, 2747.65
11/30/89, 2706.27, 2718.21, 2681.95, 2706.27
11/29/89, 2688.78, 2713.09, 2677.47, 2688.78
11/28/89, 2702.01, 2715.02, 2677.26, 2702.01
11/27/89, 2694.97, 2713.95, 2663.39, 2694.97
11/24/89, 2675.55, 2686.00, 2657.00, 2675.55
11/22/89, 2656.78, 2668.30, 2629.90, 2656.78
11/21/89, 2639.29, 2654.22, 2614.97, 2639.29
11/20/89, 2632.04, 2659.55, 2615.40, 2632.04
11/17/89, 2652.66, 2665.37, 2623.15, 2652.66
11/16/89, 2635.66, 2650.61, 2613.52, 2635.66
11/15/89, 2632.58, 2641.60, 2600.00, 2632.58
11/14/89, 2610.25, 2640.57, 2597.13, 2610.25
11/13/89, 2626.43, 2648.36, 2602.05, 2626.43
11/10/89, 2625.61, 2635.86, 2602.87, 2625.61
11/09/89, 2603.89, 2634.84, 2595.90, 2603.89
11/08/89, 2623.36, 2644.26, 2594.26, 2623.36
11/07/89, 2597.13, 2608.81, 2563.11, 2597.13
11/06/89, 2582.17, 2621.72, 2574.59, 2582.17
11/03/89, 2629.51, 2650.82, 2612.91, 2629.51
11/02/89, 2631.56, 2653.69, 2607.58, 2631.56
11/01/89, 2645.90, 2665.78, 2622.95, 2645.90
10/31/89, 2645.08, 2662.09, 2606.96, 2645.08
10/30/89, 2603.48, 2627.05, 2588.11, 2603.48
10/27/89, 2596.72, 2621.11, 2573.56, 2596.72
10/26/89, 2613.73, 2657.99, 2597.74, 2613.73
10/25/89, 2653.28, 2684.84, 2627.66, 2653.28
10/24/89, 2659.22, 2680.73, 2570.08, 2659.22
10/23/89, 2662.91, 2704.71, 2648.77, 2662.91
10/20/89, 2689.14, 2703.07, 2660.24, 2689.14
10/19/89, 2683.20, 2707.58, 2650.61, 2683.20
10/18/89, 2643.65, 2665.37, 2610.65, 2643.65
10/17/89, 2638.73, 2665.37, 2588.73, 2638.73
