,Date,MT Close, Open, High, Low,WSJ Close,Open,High,Low,Yahoo Close,Volume,Close
0,1914-12-12,54.62,,,,,,,,,,54.62
1,1914-12-14,56.76,,,,,,,,,,56.76
2,1914-12-15,55.07,,,,,,,,,,55.07
3,1914-12-16,55.35,,,,,,,,,,55.35
4,1914-12-17,55.36,,,,,,,,,,55.36
5,1914-12-18,55.09,,,,,,,,,,55.09
6,1914-12-19,55.09,,,,,,,,,,55.09
7,1914-12-21,54.46,,,,,,,,,,54.46
8,1914-12-22,54.42,,,,,,,,,,54.42
9,1914-12-23,53.46,,,,,,,,,,53.46
10,1914-12-24,53.17,,,,,,,,,,53.17
11,1914-12-26,53.17,,,,,,,,,,53.17
12,1914-12-28,54.55,,,,,,,,,,54.55
13,1914-12-29,54.58,,,,,,,,,,54.58
14,1914-12-30,54.55,,,,,,,,,,54.55
15,1914-12-31,54.63,,,,,,,,,,54.63
16,1915-01-02,54.63,,,,,,,,,,54.63
17,1915-01-04,55.44,,,,,,,,,,55.44
18,1915-01-05,55.5,,,,,,,,,,55.5
19,1915-01-06,55.4,,,,,,,,,,55.4
20,1915-01-07,56.08,,,,,,,,,,56.08
21,1915-01-08,56.55,,,,,,,,,,56.55
22,1915-01-09,56.55,,,,,,,,,,56.55
23,1915-01-11,57.37,,,,,,,,,,57.37
24,1915-01-12,57.44,,,,,,,,,,57.44
25,1915-01-13,57.35,,,,,,,,,,57.35
26,1915-01-14,57.51,,,,,,,,,,57.51
27,1915-01-15,57.9,,,,,,,,,,57.9
28,1915-01-16,57.9,,,,,,,,,,57.9
29,1915-01-18,58.12,,,,,,,,,,58.12
30,1915-01-19,58.11,,,,,,,,,,58.11
31,1915-01-20,58.42,,,,,,,,,,58.42
32,1915-01-21,58.51,,,,,,,,,,58.51
33,1915-01-22,58.21,,,,,,,,,,58.21
34,1915-01-23,58.21,,,,,,,,,,58.21
35,1915-01-25,58.06,,,,,,,,,,58.06
36,1915-01-26,58.24,,,,,,,,,,58.24
37,1915-01-27,57.07,,,,,,,,,,57.07
38,1915-01-28,57.25,,,,,,,,,,57.25
39,1915-01-29,56.54,,,,,,,,,,56.54
40,1915-01-30,56.54,,,,,,,,,,56.54
41,1915-02-01,55.59,,,,,,,,,,55.59
42,1915-02-02,57.26,,,,,,,,,,57.26
43,1915-02-03,56.9,,,,,,,,,,56.9
44,1915-02-04,56.83,,,,,,,,,,56.83
45,1915-02-05,56.16,,,,,,,,,,56.16
46,1915-02-06,56.16,,,,,,,,,,56.16
47,1915-02-08,56.31,,,,,,,,,,56.31
48,1915-02-09,56.85,,,,,,,,,,56.85
49,1915-02-10,57.05,,,,,,,,,,57.05
50,1915-02-11,57.83,,,,,,,,,,57.83
51,1915-02-13,57.83,,,,,,,,,,57.83
52,1915-02-15,57.02,,,,,,,,,,57.02
53,1915-02-16,56.64,,,,,,,,,,56.64
54,1915-02-17,55.7,,,,,,,,,,55.7
55,1915-02-18,55.53,,,,,,,,,,55.53
56,1915-02-19,55.38,,,,,,,,,,55.38
57,1915-02-20,55.38,,,,,,,,,,55.38
58,1915-02-23,54.4,,,,,,,,,,54.4
59,1915-02-24,54.22,,,,,,,,,,54.22
60,1915-02-25,54.61,,,,,,,,,,54.61
61,1915-02-26,55.02,,,,,,,,,,55.02
62,1915-02-27,55.02,,,,,,,,,,55.02
63,1915-03-01,55.29,,,,,,,,,,55.29
64,1915-03-02,55.66,,,,,,,,,,55.66
65,1915-03-03,55.88,,,,,,,,,,55.88
66,1915-03-04,56.0,,,,,,,,,,56.0
67,1915-03-05,56.51,,,,,,,,,,56.51
68,1915-03-06,56.51,,,,,,,,,,56.51
69,1915-03-08,56.98,,,,,,,,,,56.98
70,1915-03-09,56.88,,,,,,,,,,56.88
71,1915-03-10,56.66,,,,,,,,,,56.66
72,1915-03-11,56.86,,,,,,,,,,56.86
73,1915-03-12,56.66,,,,,,,,,,56.66
74,1915-03-13,56.66,,,,,,,,,,56.66
75,1915-03-15,56.7,,,,,,,,,,56.7
76,1915-03-16,56.59,,,,,,,,,,56.59
77,1915-03-17,56.67,,,,,,,,,,56.67
78,1915-03-18,56.57,,,,,,,,,,56.57
79,1915-03-19,56.98,,,,,,,,,,56.98
80,1915-03-20,56.98,,,,,,,,,,56.98
81,1915-03-22,58.1,,,,,,,,,,58.1
82,1915-03-23,59.1,,,,,,,,,,59.1
83,1915-03-24,59.26,,,,,,,,,,59.26
84,1915-03-25,59.25,,,,,,,,,,59.25
85,1915-03-26,59.51,,,,,,,,,,59.51
86,1915-03-27,59.51,,,,,,,,,,59.51
87,1915-03-29,60.13,,,,,,,,,,60.13
88,1915-03-30,61.3,,,,,,,,,,61.3
89,1915-03-31,60.83,,,,,,,,,,60.83
90,1915-04-01,61.05,,,,,,,,,,61.05
91,1915-04-03,61.05,,,,,,,,,,61.05
92,1915-04-05,62.29,,,,,,,,,,62.29
93,1915-04-06,62.45,,,,,,,,,,62.45
94,1915-04-07,62.55,,,,,,,,,,62.55
95,1915-04-08,63.15,,,,,,,,,,63.15
96,1915-04-09,65.02,,,,,,,,,,65.02
97,1915-04-10,65.02,,,,,,,,,,65.02
98,1915-04-12,64.66,,,,,,,,,,64.66
99,1915-04-13,65.54,,,,,,,,,,65.54
100,1915-04-14,66.14,,,,,,,,,,66.14
101,1915-04-15,67.42,,,,,,,,,,67.42
102,1915-04-16,69.36,,,,,,,,,,69.36
103,1915-04-17,69.36,,,,,,,,,,69.36
